date;instituicao;cod_ibge;uf;poder;populacao;coluna;conta;valor
2018-04-01;Prefeitura Municipal de Ibaretama - CE;2305266;CE;Executivo;13203;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);76,74
2018-04-01;Prefeitura Municipal de Paraipaba - CE;2310258;CE;Executivo;32256;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);22,59
2018-04-01;Prefeitura Municipal de São Luís do Curu - CE;2312601;CE;Executivo;12805;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);26,26
2018-04-01;Prefeitura Municipal de Várzea Alegre - CE;2314003;CE;Executivo;40255;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);22,56
2018-04-01;Prefeitura Municipal de Iracema - CE;2306009;CE;Executivo;14098;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);34,11
2018-04-01;Prefeitura Municipal de Limoeiro do Norte - CE;2307601;CE;Executivo;58552;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);65,07
2018-04-01;Prefeitura Municipal de Chorozinho - CE;2303956;CE;Executivo;19194;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,41
2018-04-01;Prefeitura Municipal de Jaguaruana - CE;2307007;CE;Executivo;33607;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,30
2018-04-01;Prefeitura Municipal de Deputado Irapuan Pinheiro - CE;2304269;CE;Executivo;9483;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);14,02
2018-04-01;Prefeitura Municipal de Russas - CE;2311801;CE;Executivo;75762;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);4,23
2018-04-01;Prefeitura Municipal de Palhano - CE;2310001;CE;Executivo;9248;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);149,15
2018-04-01;Prefeitura Municipal de Cascavel - CE;2303501;CE;Executivo;70574;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);22,12
2018-04-01;Prefeitura Municipal de São João do Jaguaribe - CE;2312502;CE;Executivo;7670;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,14
2018-04-01;Prefeitura Municipal de Santa Quitéria - CE;2312205;CE;Executivo;43359;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);3,95
2018-04-01;Prefeitura Municipal de Paramoti - CE;2310407;CE;Executivo;11564;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);24,81
2018-04-01;Prefeitura Municipal de Guaiúba - CE;2304954;CE;Executivo;26091;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);29,90
2018-04-01;Prefeitura Municipal de Itaiçaba - CE;2306207;CE;Executivo;7698;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);74,03
2018-04-01;Prefeitura Municipal de Cruz - CE;2304251;CE;Executivo;23833;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);9,89
2018-04-01;Prefeitura Municipal de Miraíma - CE;2308377;CE;Executivo;13507;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);33,17
2018-04-01;Prefeitura Municipal de Aracoiaba - CE;2301208;CE;Executivo;26203;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);43,75
2018-04-01;Prefeitura Municipal de Chaval - CE;2303907;CE;Executivo;12931;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);69,06
2018-04-01;Prefeitura Municipal de Catarina - CE;2303600;CE;Executivo;20269;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);20,14
2018-04-01;Prefeitura Municipal de Baturité - CE;2302107;CE;Executivo;35154;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);60,78
2018-04-01;Prefeitura Municipal de Palmácia - CE;2310100;CE;Executivo;13022;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);51,25
2018-04-01;Prefeitura Municipal de Guaramiranga - CE;2305100;CE;Executivo;3632;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,52
2018-04-01;Prefeitura Municipal de Fortim - CE;2304459;CE;Executivo;16115;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);8,60
2018-04-01;Prefeitura Municipal de Horizonte - CE;2305233;CE;Executivo;64673;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,17
2018-04-01;Prefeitura Municipal de Carnaubal - CE;2303402;CE;Executivo;17549;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-13,26
2018-04-01;Prefeitura Municipal de Santana do Acaraú - CE;2312007;CE;Executivo;31814;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);67,25
2018-04-01;Prefeitura Municipal de Irauçuba - CE;2306108;CE;Executivo;23704;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);30,93
2018-04-01;Prefeitura Municipal de Aracati - CE;2301109;CE;Executivo;73188;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-8,68
2018-04-01;Prefeitura Municipal de Itapiúna - CE;2306504;CE;Executivo;19872;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);14,96
2018-04-01;Prefeitura Municipal de Jaguaribara - CE;2306801;CE;Executivo;11200;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);45,93
2018-04-01;Prefeitura Municipal de Mombaça - CE;2308500;CE;Executivo;43678;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);65,67
2018-04-01;Prefeitura Municipal de Juazeiro do Norte - CE;2307304;CE;Executivo;268248;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);28,11
2018-04-01;Prefeitura Municipal de Jucás - CE;2307403;CE;Executivo;24540;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);47,00
2018-04-01;Prefeitura Municipal de Morrinhos - CE;2308906;CE;Executivo;22067;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);9,68
2018-04-01;Prefeitura Municipal de Maracanaú - CE;2307650;CE;Executivo;223188;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);10,21
2018-04-01;Prefeitura Municipal de Trairi - CE;2313500;CE;Executivo;54820;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,92
2018-04-01;Prefeitura Municipal de Umirim - CE;2313757;CE;Executivo;19602;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);11,57
2018-04-01;Prefeitura Municipal de Tururu - CE;2313559;CE;Executivo;15768;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,65
2018-04-01;Prefeitura Municipal de Piquet Carneiro - CE;2310902;CE;Executivo;16599;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);6,57
2018-04-01;Prefeitura Municipal de Viçosa do Ceará - CE;2314102;CE;Executivo;59487;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-13,39
2018-04-01;Prefeitura Municipal de Pacajus - CE;2309607;CE;Executivo;69877;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);41,40
2018-04-01;Prefeitura Municipal de Ocara - CE;2309458;CE;Executivo;25261;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);26,17
2018-04-01;Prefeitura Municipal de Jijoca de Jericoacoara - CE;2307254;CE;Executivo;19224;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,93
2018-04-01;Prefeitura Municipal de Martinópole - CE;2307908;CE;Executivo;10990;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);18,00
2018-04-01;Prefeitura Municipal de Pires Ferreira - CE;2310951;CE;Executivo;10730;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-5,29
2018-04-01;Prefeitura Municipal de Boa Viagem - CE;2302404;CE;Executivo;53945;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);21,31
2018-04-01;Prefeitura Municipal de Ubajara - CE;2313609;CE;Executivo;34068;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-23,37
2018-04-01;Prefeitura Municipal de Caucaia - CE;2303709;CE;Executivo;358164;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,56
2018-04-01;Prefeitura Municipal de Tauá - CE;2313302;CE;Executivo;57914;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-18,26
2018-04-01;Prefeitura Municipal de Tarrafas - CE;2313252;CE;Executivo;8875;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);86,02
2018-04-01;Prefeitura Municipal de Barro - CE;2302008;CE;Executivo;22361;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);4,08
2018-04-01;Prefeitura Municipal de Barroquinha - CE;2302057;CE;Executivo;14854;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);20,36
2018-04-01;Prefeitura Municipal de Araripe - CE;2301307;CE;Executivo;21345;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-26,83
2018-04-01;Prefeitura Municipal de Barbalha - CE;2301901;CE;Executivo;59343;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-13,11
2018-04-01;Prefeitura Municipal de Pentecoste - CE;2310704;CE;Executivo;36928;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);34,06
2018-04-01;Prefeitura Municipal de Apuiarés - CE;2300903;CE;Executivo;14644;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);4,82
2018-04-01;Prefeitura Municipal de Cariré - CE;2303105;CE;Executivo;18653;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-28,68
2018-04-01;Prefeitura Municipal de Aratuba - CE;2301406;CE;Executivo;11300;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,96
2018-04-01;Prefeitura Municipal de Acarape - CE;2300150;CE;Executivo;16418;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);103,05
2018-04-01;Prefeitura Municipal de Capistrano - CE;2302909;CE;Executivo;17621;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,37
2018-04-01;Prefeitura Municipal de Banabuiú - CE;2301851;CE;Executivo;17968;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);66,89
2018-04-01;Prefeitura Municipal de Coreaú - CE;2304004;CE;Executivo;23000;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);26,77
2018-04-01;Prefeitura Municipal de Tabuleiro do Norte - CE;2313104;CE;Executivo;30378;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);30,79
2018-04-01;Prefeitura Municipal de Abaiara - CE;2300101;CE;Executivo;11483;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);75,02
2018-04-01;Prefeitura Municipal de Frecheirinha - CE;2304509;CE;Executivo;13606;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);16,54
2018-04-01;Prefeitura Municipal de Acopiara - CE;2300309;CE;Executivo;53358;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,39
2018-04-01;Prefeitura Municipal de Granja - CE;2304707;CE;Executivo;54146;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);21,44
2018-04-01;Prefeitura Municipal de Itaitinga - CE;2306256;CE;Executivo;38933;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,36
2018-04-01;Prefeitura Municipal de Itarema - CE;2306553;CE;Executivo;40822;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);14,63
2018-04-01;Prefeitura Municipal de Mauriti - CE;2308104;CE;Executivo;46335;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,83
2018-04-01;Prefeitura Municipal de Lavras da Mangabeira - CE;2307502;CE;Executivo;31359;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,44
2018-04-01;Prefeitura Municipal de Saboeiro - CE;2311900;CE;Executivo;15715;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);52,77
2018-04-01;Prefeitura Municipal de Mulungu - CE;2309102;CE;Executivo;12682;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);28,39
2018-04-01;Prefeitura Municipal de Camocim - CE;2302602;CE;Executivo;62734;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,50
2018-04-01;Prefeitura Municipal de Ipaumirim - CE;2305704;CE;Executivo;12327;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);27,93
2018-04-01;Prefeitura Municipal de Poranga - CE;2311009;CE;Executivo;12234;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);16,36
2018-04-01;Prefeitura Municipal de Iguatu - CE;2305506;CE;Executivo;102013;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12325,28
2018-04-01;Prefeitura Municipal de Tejuçuoca - CE;2313351;CE;Executivo;18709;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,64
2018-04-01;Prefeitura Municipal de Uruburetama - CE;2313807;CE;Executivo;21411;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);75,59
2018-04-01;Prefeitura Municipal de Itapajé - CE;2306306;CE;Executivo;51538;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-28,25
2018-04-01;Prefeitura Municipal de Graça - CE;2304657;CE;Executivo;15300;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);0,07
2018-04-01;Prefeitura Municipal de Maranguape - CE;2307700;CE;Executivo;125058;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-28,81
2018-04-01;Prefeitura Municipal de Antonina do Norte - CE;2300804;CE;Executivo;7253;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);0,30
2018-04-01;Prefeitura Municipal de Pacatuba - CE;2309706;CE;Executivo;81627;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);21,22
2018-04-01;Prefeitura Municipal de Beberibe - CE;2302206;CE;Executivo;52719;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,68
2018-04-01;Prefeitura Municipal de Paracuru - CE;2310209;CE;Executivo;33665;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);29,00
2018-04-01;Prefeitura Municipal de Cedro - CE;2303808;CE;Executivo;25038;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);6,38
2018-04-01;Prefeitura Municipal de Quixelô - CE;2311355;CE;Executivo;14903;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);17,26
2018-04-01;Prefeitura Municipal de Independência - CE;2305605;CE;Executivo;25962;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-6,04
2018-04-01;Prefeitura Municipal de Jaguaretama - CE;2306702;CE;Executivo;17977;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);57,13
2018-04-01;Prefeitura Municipal de Alcântaras - CE;2300507;CE;Executivo;11391;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);15,91
2018-04-01;Prefeitura Municipal de Icapuí - CE;2305357;CE;Executivo;19554;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);42,19
2018-04-01;Prefeitura Municipal de Pacujá - CE;2309904;CE;Executivo;6186;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);50,32
2018-04-01;Prefeitura Municipal de Madalena - CE;2307635;CE;Executivo;19616;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);47,82
2018-04-01;Prefeitura Municipal de General Sampaio - CE;2304608;CE;Executivo;6845;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);16,85
2018-04-01;Prefeitura Municipal de Pindoretama - CE;2310852;CE;Executivo;20430;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-10,90
2018-04-01;Prefeitura Municipal de Bela Cruz - CE;2302305;CE;Executivo;32243;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);79,59
2018-04-01;Prefeitura Municipal de Solonópole - CE;2313005;CE;Executivo;18127;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,73
2018-04-01;Prefeitura Municipal de Alto Santo - CE;2300705;CE;Executivo;16927;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,66
2018-04-01;Prefeitura Municipal de Redenção - CE;2311603;CE;Executivo;27358;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);28,30
2018-04-01;Prefeitura Municipal de Quixeramobim - CE;2311405;CE;Executivo;77931;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);51,72
2018-04-01;Prefeitura Municipal de Nova Russas - CE;2309300;CE;Executivo;31954;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,11
2018-04-01;Prefeitura Municipal de Eusébio - CE;2304285;CE;Executivo;51913;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-62,52
2018-04-01;Prefeitura Municipal de Quixadá - CE;2311306;CE;Executivo;85991;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);15,78
2018-04-01;Prefeitura Municipal de Choró - CE;2303931;CE;Executivo;13340;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);39,11
2018-04-01;Prefeitura Municipal de Crato - CE;2304202;CE;Executivo;129662;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);4,00
2018-04-01;Prefeitura Municipal de Campos Sales - CE;2302701;CE;Executivo;27167;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-17,25
2018-04-01;Prefeitura Municipal de São Benedito - CE;2312304;CE;Executivo;46414;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-17,25
2018-04-01;Prefeitura Municipal de Meruoca - CE;2308203;CE;Executivo;14814;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,91
2018-04-01;Prefeitura Municipal de Uruoca - CE;2313906;CE;Executivo;13600;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);23,82
2018-04-01;Prefeitura Municipal de Morada Nova - CE;2308708;CE;Executivo;61722;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);30,38
2018-04-01;Prefeitura Municipal de Porteiras - CE;2311108;CE;Executivo;14965;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-10,59
2018-04-01;Prefeitura Municipal de Guaraciaba do Norte - CE;2305001;CE;Executivo;39301;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);3,92
2018-04-01;Prefeitura Municipal de Milagres - CE;2308302;CE;Executivo;28292;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-53,90
2018-04-01;Prefeitura Municipal de Brejo Santo - CE;2302503;CE;Executivo;48451;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-119,56
2018-04-01;Prefeitura Municipal de Ipu - CE;2305803;CE;Executivo;41485;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-27,36
2018-04-01;Prefeitura Municipal de Reriutaba - CE;2311702;CE;Executivo;18769;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);27,34
2018-04-01;Prefeitura Municipal de Ererê - CE;2304277;CE;Executivo;7134;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-19,35
2018-04-01;Prefeitura Municipal de Acaraú - CE;2300200;CE;Executivo;61715;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);1,78
2018-04-01;Prefeitura Municipal de Hidrolândia - CE;2305209;CE;Executivo;20136;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);13,48
2018-04-01;Prefeitura Municipal de Potiretama - CE;2311231;CE;Executivo;6337;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);50,61
2018-04-01;Prefeitura Municipal de Tianguá - CE;2313401;CE;Executivo;74107;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);4,71
2018-04-01;Prefeitura Municipal de Penaforte - CE;2310605;CE;Executivo;8888;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-6,77
2018-04-01;Prefeitura Municipal de Ipueiras - CE;2305902;CE;Executivo;37957;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);3,33
2018-04-01;Prefeitura Municipal de Amontada - CE;2300754;CE;Executivo;42508;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);18,66
2018-04-01;Prefeitura Municipal de Arneiroz - CE;2301505;CE;Executivo;7774;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);31,09
2018-04-01;Prefeitura Municipal de Catunda - CE;2303659;CE;Executivo;10331;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);15,06
2018-04-01;Prefeitura Municipal de Jati - CE;2307205;CE;Executivo;7827;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-9,93
2018-04-01;Prefeitura Municipal de Senador Pompeu - CE;2312700;CE;Executivo;26496;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);40,48
2018-04-01;Prefeitura Municipal de Croatá - CE;2304236;CE;Executivo;17802;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);27,34
2018-04-01;Prefeitura Municipal de Santana do Cariri - CE;2312106;CE;Executivo;17479;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);24,19
2018-04-01;Prefeitura Municipal de Canindé - CE;2302800;CE;Executivo;77261;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);26,47
2018-04-01;Prefeitura Municipal de Jardim - CE;2307106;CE;Executivo;27074;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-1,97
2018-04-01;Prefeitura Municipal de Caridade - CE;2303006;CE;Executivo;22065;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);56,83
2018-04-01;Prefeitura Municipal de Moraújo - CE;2308807;CE;Executivo;8579;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);14,37
2018-04-01;Prefeitura Municipal de Caririaçu - CE;2303204;CE;Executivo;26876;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);44,87
2018-04-01;Prefeitura Municipal de Assaré - CE;2301604;CE;Executivo;23191;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);1,30
2018-04-01;Prefeitura Municipal de Aiuaba - CE;2300408;CE;Executivo;17098;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);51,77
2018-04-01;Prefeitura Municipal de Monsenhor Tabosa - CE;2308609;CE;Executivo;17025;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-0,50
2018-04-01;Prefeitura Municipal de Baixio - CE;2301802;CE;Executivo;6214;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);57,54
2018-04-01;Prefeitura Municipal de Altaneira - CE;2300606;CE;Executivo;7413;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);9,34
2018-04-01;Prefeitura Municipal de Missão Velha - CE;2308401;CE;Executivo;35326;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);-29,54
2018-04-01;Prefeitura Municipal de Umari - CE;2313708;CE;Executivo;7668;Até o 1º Quadrimestre;% da DCL sobre a RCL (III/RCL);53,97
2018-08-01;Prefeitura Municipal de Chorozinho - CE;2303956;CE;Executivo;19194;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);8,33
2018-08-01;Prefeitura Municipal de Cruz - CE;2304251;CE;Executivo;23833;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,99
2018-08-01;Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2609716;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);7,52
2018-08-01;Prefeitura Municipal de São João do Jaguaribe - CE;2312502;CE;Executivo;7670;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);8,21
2018-08-01;Prefeitura Municipal de Ibicuitinga - CE;2305332;CE;Executivo;12242;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);44,62
2018-08-01;Prefeitura Municipal de Ocara - CE;2309458;CE;Executivo;25261;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);23,01
2018-08-01;Prefeitura Municipal de Cascavel - CE;2303501;CE;Executivo;70574;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);23,45
2018-08-01;Prefeitura Municipal de Quiterianópolis - CE;2311264;CE;Executivo;20777;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);-11,39
2018-08-01;Prefeitura Municipal de Russas - CE;2311801;CE;Executivo;75762;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);2,95
2018-08-01;Prefeitura Municipal de Paramoti - CE;2310407;CE;Executivo;11564;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);45,41
2018-08-01;Prefeitura Municipal de Alcântaras - CE;2300507;CE;Executivo;11391;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);12,86
2018-08-01;Prefeitura Municipal de Crateús - CE;2304103;CE;Executivo;74350;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);-4,01
2018-08-01;Prefeitura Municipal de Sobral - CE;2312908;CE;Executivo;203682;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);-15,37
2018-08-01;Prefeitura Municipal de Aquiraz - CE;2301000;CE;Executivo;78438;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);-15,76
2018-08-01;Prefeitura Municipal de Novo Oriente - CE;2309409;CE;Executivo;28288;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);33,01
2018-08-01;Prefeitura Municipal de Salitre - CE;2311959;CE;Executivo;16248;Até o 2º Quadrimestre;% da DCL sobre a RCL (III/RCL);-4,00
